team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
Los Angeles Dodgers,team roster,NL,West,"241,372,403",106,56,.654,2,2,2,"189,065,000",David Price (8)
New York Yankees,team roster,AL,East,"201,074,956",92,70,.568,3,4,8,"214,291,339",Gerrit Cole (2)
New York Mets,team roster,NL,East,"186,001,814",77,85,.475,3,9,20,"142,288,337",Jacob deGrom (16)
Los Angeles Angels,team roster,AL,West,"180,609,676",77,85,.475,4,10,18,"176,329,344",Mike Trout (1)
Washington Nationals,team roster,NL,East,"179,557,685",65,97,.401,5,13,26,"159,242,411",Max Scherzer (4)
Boston Red Sox,team roster,AL,East,"179,540,260",92,70,.568,2,5,7,"120,361,000",Justin Verlander (6)
Houston Astros,team roster,AL,West,"176,495,417",95,67,.586,1,2,4,"212,321,933",Zack Greinke (13)
San Diego Padres,team roster,NL,West,"175,713,986",79,83,.488,3,8,17,"140,317,600",Manny Machado (5)
Philadelphia Phillies,team roster,NL,East,"174,808,832",82,80,.506,2,7,15,"152,877,962",Bryce Harper (18)
St. Louis Cardinals,team roster,NL,Central,"164,972,833",90,72,.556,2,4,10,"160,781,766",Nolan Arenado (3)
Chicago Cubs,team roster,NL,Central,"156,481,585",71,91,.438,4,11,24,"188,959,500",Jason Heyward (34)
San Francisco Giants,team roster,NL,West,"149,937,613",107,55,.660,1,1,1,"144,994,027",Buster Posey (31)
Toronto Blue Jays,team roster,AL,East,"139,646,569",91,71,.562,4,6,9,"92,582,371",George Springer (25)
Atlanta Braves,team roster,NL,East,"132,458,375",88,73,.547,1,5,12,"149,466,875",Freddie Freeman (29)
Chicago White Sox,team roster,AL,Central,"127,148,334",93,69,.574,1,3,6,"120,898,499",Yasmani Grandal (50)
Minnesota Twins,team roster,AL,Central,"125,153,166",73,89,.451,5,13,23,"127,610,333",Josh Donaldson (32)
Cincinnati Reds,team roster,NL,Central,"123,575,488",83,79,.512,3,6,14,"143,143,673",Joey Votto (20)
Colorado Rockies,team roster,NL,West,"110,309,500",74,87,.460,4,10,21,"136,399,833",Charlie Blackmon (34)
Texas Rangers,team roster,AL,West,"97,796,971",60,102,.370,5,14,28,"137,834,500",Chris Davis (33)
Arizona Diamondbacks,team roster,NL,West,"94,394,792",52,110,.321,5,15,30,"86,471,066",Madison Bumgarner (55)
Milwaukee Brewers,team roster,NL,Central,"93,818,038",95,67,.586,1,3,5,"97,535,926",Lorenzo Cain (61)
Kansas City Royals,team roster,AL,Central,"89,496,700",74,88,.457,4,12,22,"83,278,225",Danny Duffy (69)
Seattle Mariners,team roster,AL,West,"83,603,100",90,72,.556,2,7,11,"70,343,800",Kyle Seager (47)
Oakland Athletics,team roster,AL,West,"82,983,674",86,76,.531,3,8,13,"94,318,433",Elvis Andrus (76)
Detroit Tigers,team roster,AL,Central,"80,866,200",77,85,.475,3,11,19,"96,832,300",Miguel Cabrera (11)
Tampa Bay Rays,team roster,AL,East,"66,820,709",100,62,.617,1,1,3,"65,812,166",Kevin Kiermaier (100)
Miami Marlins,team roster,NL,East,"57,481,750",67,95,.414,4,12,25,"47,861,700",Starling Marte (88)
Baltimore Orioles,team roster,AL,East,"56,158,500",52,110,.321,5,15,29,"52,415,682",Trey Mancini (220)
Cleveland Indians,team roster,AL,Central,"51,269,100",80,82,.494,2,9,16,"89,004,234",Trevor Rosenthal (113)
Pittsburgh Pirates,team roster,NL,Central,"45,599,000",61,101,.377,5,14,27,"42,119,000",Gregory Polanco (103)
